Year,Country,Language
1989,Norway,Norwegian
1989,Portugal,Portuguese
1989,Sweden,Swedish
1989,Luxembourg,French
1989,Denmark,Danish
1989,Austria,German
1989,Finland,Finnish
1989,France,French
1989,Spain,Spanish
1989,Cyprus,Greek
1989,Switzerland,Romansh
1989,Greece,Greek
1989,Iceland,Icelandic
1989,Germany,German
1989,Yugoslavia,Serbo-Croatian
1990,Spain,Spanish
1990,Greece,Greek
1990,Belgium,French
1990,Turkey,Turkish
1990,Netherlands,Dutch
1990,Luxembourg,French
1990,United Kingdom,English
1990,Iceland,Icelandic
1990,Norway,Norwegian
1990,Israel,Hebrew
1990,Denmark,Danish
1990,Switzerland,German
1990,Germany,German
1990,France,French
1990,Yugoslavia,Serbo-Croatian
1990,Portugal,Portuguese
1990,Ireland,English
1990,Sweden,Swedish
1990,Italy,Italian
1990,Austria,German[b][c][j]
1990,Cyprus,Greek
1990,Finland,Swedish
1991,Yugoslavia,Serbo-Croatian
1991,Iceland,Icelandic
1991,Malta,English
1991,Greece,Greek
1991,Switzerland,Italian
1991,Austria,German
1991,Luxembourg,French
1991,Sweden,Swedish
1991,France,French
1991,Turkey,Turkish
1991,Ireland,English
1991,Portugal,Portuguese
1991,Denmark,Danish
1991,Norway,Norwegian
1991,Israel,Hebrew
1991,Finland,Finnish
1991,Germany,German
1991,Belgium,Dutch
1991,Spain,Spanish
1991,United Kingdom,English
1991,Cyprus,Greek
1991,Italy,Neapolitan
1992,Spain,Spanish
1992,Belgium,French
1992,Israel,Hebrew
1992,Turkey,Turkish
1992,Greece,Greek
1992,France,"French, Antillean Creole"
1992,Sweden,Swedish
1992,Portugal,Portuguese
1992,Cyprus,Greek
1992,Malta,English
1992,Iceland,Icelandic
1992,Finland,Finnish
1992,Switzerland,French
1992,Luxembourg,Luxembourgish
1992,Austria,German
1992,United Kingdom,English
1992,Ireland,English
1992,Denmark,Danish
1992,Italy,Italian
1992,Yugoslavia,Serbian
1992,Norway,Norwegian
1992,Germany,German
1992,Netherlands,Dutch
1993,Italy,Italian
1993,Turkey,Turkish
1993,Germany,German
1993,Switzerland,French
1993,Denmark,Danish
1993,Greece,Greek
1993,Belgium,Dutch
1993,Malta,English
1993,Iceland,Icelandic
1993,Austria,German
1993,Portugal,Portuguese
1993,France,"French, Corsican"
1993,Sweden,Swedish
1993,Ireland,English
1993,Luxembourg,"French, Luxembourgish"
1993,Slovenia,Slovene
1993,Finland,Finnish
1993,Bosnia and Herzegovina,Bosnian
1993,United Kingdom,English
1993,Netherlands,Dutch
1993,Croatia,"Croatian, English"
1993,Spain,Spanish
1993,Cyprus,Greek
1993,Israel,"Hebrew, English"
1993,Norway,Norwegian
1994,Sweden,Swedish
1994,Finland,Finnish
1994,Ireland,English
1994,Cyprus,Greek
1994,Iceland,Icelandic
1994,United Kingdom,English
1994,Croatia,Croatian
1994,Portugal,Portuguese
1994,Switzerland,Italian
1994,Estonia,Estonian
1994,Romania,Romanian
1994,Malta,English
1994,Netherlands,Dutch
1994,Germany,German[c]
1994,Slovakia,Slovak
1994,Lithuania,Lithuanian
1994,Norway,Norwegian
1994,Bosnia and Herzegovina,Bosnian
1994,Greece,Greek
1994,Austria,German
1994,Spain,Spanish
1994,Hungary,Hungarian
1994,Russia,Russian
1994,Poland,Polish
1994,France,French
1995,Poland,Polish
1995,Ireland,English
1995,Germany,German
1995,Bosnia and Herzegovina,Bosnian
1995,Norway,Norwegian
1995,Russia,Russian
1995,Iceland,Icelandic
1995,Austria,German
1995,Spain,Spanish
1995,Turkey,Turkish
1995,Croatia,Croatian
1995,France,French
1995,Hungary,Hungarian
1995,Belgium,French
1995,United Kingdom,English
1995,Portugal,Portuguese
1995,Cyprus,Greek
1995,Sweden,Swedish
1995,Denmark,Danish
1995,Slovenia,Slovene
1995,Israel,Hebrew
1995,Malta,English
1995,Greece,Greek[o]
1996,Turkey,Turkish
1996,United Kingdom,English
1996,Spain,Spanish
1996,Portugal,Portuguese
1996,Cyprus,Greek
1996,Malta,English
1996,Croatia,Croatian
1996,Austria,Vorarlbergish
1996,Switzerland,French
1996,Greece,Greek
1996,Estonia,Estonian
1996,Norway,Norwegian
1996,France,Breton
1996,Slovenia,Slovene
1996,Netherlands,Dutch
1996,Belgium,Dutch
1996,Ireland,English
1996,Finland,Finnish
1996,Iceland,Icelandic
1996,Poland,Polish
1996,Bosnia and Herzegovina,Bosnian
1996,Slovakia,Slovak
1996,Sweden,Swedish
1997,Cyprus,Greek
1997,Turkey,Turkish
1997,Norway,Norwegian[c]
1997,Austria,German[c]
1997,Ireland,English
1997,Slovenia,Slovene
1997,Switzerland,Italian
1997,Netherlands,Dutch
1997,Italy,Italian
1997,Spain,Spanish
1997,Germany,German
1997,Poland,Polish
1997,Estonia,Estonian
1997,Bosnia and Herzegovina,Bosnian
1997,Portugal,Portuguese
1997,Sweden,Swedish
1997,Greece,Greek
1997,Malta,English
1997,Hungary,Hungarian
1997,Russia,Russian
1997,Denmark,Danish
1997,France,French
1997,Croatia,Croatian
1997,United Kingdom,English
1997,Iceland,Icelandic
1998,Croatia,Croatian
1998,Greece,Greek
1998,France,French
1998,Spain,Spanish
1998,Switzerland,German
1998,Slovakia,Slovak
1998,Poland,Polish
1998,Israel,Hebrew
1998,Germany,German
1998,Malta,English
1998,Hungary,Hungarian
1998,Slovenia,Slovene
1998,Ireland,English
1998,Portugal,Portuguese
1998,Romania,Romanian
1998,United Kingdom,English
1998,Cyprus,Greek
1998,Netherlands,Dutch
1998,Sweden,Swedish
1998,Belgium,French
1998,Finland,Finnish
1998,Norway,Norwegian
1998,Estonia,Estonian
1998,Turkey,Turkish
1998,Macedonia,Macedonian
1999,Lithuania,Samogitian
1999,Belgium,English
1999,Spain,Spanish
1999,Croatia,Croatian
1999,United Kingdom,English
1999,Slovenia,English
1999,Turkey,Turkish
1999,Norway,English
1999,Denmark,English
1999,France,French
1999,Netherlands,English
1999,Poland,Polish
1999,Iceland,English
1999,Cyprus,Greek
1999,Sweden,English
1999,Portugal,Portuguese
1999,Ireland,English
1999,Austria,English
1999,Israel,"Hebrew, English"
1999,Malta,English
1999,Germany,"German, Turkish, English[i]"
1999,Bosnia and Herzegovina,"Bosnian, French"
1999,Estonia,English
2000,Israel,Hebrew[c]
2000,Netherlands,English
2000,United Kingdom,English
2000,Estonia,English
2000,France,French
2000,Romania,English
2000,Malta,English[p]
2000,Norway,English
2000,Russia,English
2000,Belgium,French
2000,Cyprus,"Greek, Italian"
2000,Iceland,English
2000,Spain,Spanish
2000,Denmark,English
2000,Germany,"German, English"
2000,Switzerland,Italian
2000,Croatia,Croatian
2000,Sweden,English
2000,Macedonia,"Macedonian, English"
2000,Finland,English
2000,Latvia,English
2000,Turkey,"Turkish, English"
2000,Ireland,English
2000,Austria,English
2001,Netherlands,English
2001,Iceland,English
2001,Bosnia and Herzegovina,"Bosnian, English"
2001,Norway,English
2001,Israel,Hebrew
2001,Russia,English
2001,Sweden,English
2001,Lithuania,"English, Lithuanian"
2001,Latvia,English
2001,Croatia,English
2001,Portugal,Portuguese
2001,Ireland,English
2001,Spain,Spanish
2001,France,"French, English"
2001,Turkey,"Turkish, English"
2001,United Kingdom,English
2001,Slovenia,English
2001,Poland,English
2001,Germany,"German, English"
2001,Estonia,English
2001,Malta,English
2001,Greece,"Greek, English"
2001,Denmark,English
2002,Cyprus,English
2002,United Kingdom,English
2002,Austria,English
2002,Greece,English[q]
2002,Spain,Spanish
2002,Croatia,English
2002,Russia,English
2002,Estonia,English
2002,Macedonia,Macedonian
2002,Israel,"Hebrew, English"
2002,Switzerland,French
2002,Sweden,English
2002,Finland,English
2002,Denmark,English
2002,Bosnia and Herzegovina,"Serbian, English"
2002,Belgium,English
2002,France,French
2002,Germany,English
2002,Turkey,"Turkish, English"
2002,Malta,English
2002,Romania,English
2002,Slovenia,Slovene
2002,Latvia,English
2002,Lithuania,English
2003,Iceland,English
2003,Austria,Styrian
2003,Ireland,English
2003,Turkey,English
2003,Malta,English
2003,Bosnia and Herzegovina,"Croatian, English"
2003,Portugal,"Portuguese, English"
2003,Croatia,"Croatian, English"
2003,Cyprus,English
2003,Germany,English
2003,Russia,Russian
2003,Spain,Spanish
2003,Israel,Hebrew[b][c][d][q]
2003,Netherlands,English
2003,United Kingdom,English
2003,Ukraine,English
2003,Greece,English
2003,Norway,English
2003,France,French
2003,Poland,"German, Polish, Russian"
2003,Latvia,English
2003,Belgium,Imaginary
2003,Estonia,English
2003,Romania,English
2003,Sweden,English
2003,Slovenia,English
2004,Finland,English
2004,Belarus,English
2004,Switzerland,English
2004,Latvia,Latvian
2004,Israel,"Hebrew, English"
2004,Andorra,Catalan
2004,Portugal,Portuguese
2004,Malta,English
2004,Monaco,French
2004,Greece,English
2004,Ukraine,"English, Ukrainian"
2004,Lithuania,English
2004,Albania,English
2004,Cyprus,English
2004,Macedonia,English
2004,Slovenia,English
2004,Estonia,Võro
2004,Croatia,English
2004,Denmark,English
2004,Serbia and Montenegro,Serbian
2004,Bosnia and Herzegovina,English
2004,Netherlands,English
2004,Spain,Spanish
2004,Austria,German
2004,Norway,English
2004,France,"French, Spanish"
2004,Serbia and Montenegro,Serbian
2004,Malta,English
2004,Netherlands,English
2004,Germany,"English, Turkish"
2004,Albania,English
2004,Ukraine,"English, Ukrainian"
2004,Croatia,English
2004,Bosnia and Herzegovina,English
2004,Belgium,English
2004,Russia,English
2004,Macedonia,English
2004,Greece,English
2004,Iceland,English
2004,Ireland,English
2004,Poland,"English, Spanish"
2004,United Kingdom,English
2004,Cyprus,English
2004,Turkey,English
2004,Romania,English
2004,Sweden,English
2005,Austria,"English, Spanish"
2005,Lithuania,English
2005,Portugal,"Portuguese, English"
2005,Moldova,"English, Romanian"
2005,Latvia,English
2005,Monaco,French
2005,Israel,"Hebrew, English"
2005,Belarus,English
2005,Netherlands,English
2005,Iceland,English
2005,Belgium,French
2005,Estonia,English
2005,Norway,English
2005,Romania,English
2005,Hungary,Hungarian
2005,Finland,English
2005,Macedonia,English
2005,Andorra,Catalan
2005,Switzerland,English
2005,Croatia,Croatian
2005,Bulgaria,English
2005,Ireland,English
2005,Slovenia,Slovene
2005,Denmark,English
2005,Poland,"Polish, Russian"
2005,Final,Final
2005,Hungary,Hungarian
2005,United Kingdom,English
2005,Malta,English
2005,Romania,English
2005,Norway,English
2005,Turkey,Turkish
2005,Moldova,"English, Romanian"
2005,Albania,English
2005,Cyprus,English
2005,Spain,Spanish
2005,Israel,"Hebrew, English"
2005,Serbia and Montenegro,Montenegrin
2005,Denmark,English
2005,Sweden,English
2005,Macedonia,English
2005,Ukraine,"Ukrainian, English[b][d][g][r][s][t]"
2005,Germany,English
2005,Croatia,Croatian
2005,Greece,English
2005,Russia,English
2005,Bosnia and Herzegovina,English
2005,Switzerland,English
2005,Latvia,English
2005,France,French
2006,Armenia,English
2006,Bulgaria,English
2006,Slovenia,English
2006,Andorra,Catalan
2006,Belarus,English
2006,Albania,Albanian
2006,Belgium,English
2006,Ireland,English
2006,Cyprus,English
2006,Monaco,"French, Tahitian"
2006,Macedonia,"English, Macedonian"
2006,Poland,"English, Polish, German, Russian[d]"
2006,Russia,English
2006,Turkey,Turkish
2006,Ukraine,English
2006,Finland,English
2006,Netherlands,"English, Imaginary"
2006,Lithuania,English[b]
2006,Portugal,"Portuguese, English"
2006,Sweden,English
2006,Estonia,English
2006,Bosnia and Herzegovina,Bosnian
2006,Iceland,English
2006,Switzerland,English
2006,Moldova,English[d]
2006,Israel,"Hebrew, English"
2006,Latvia,English
2006,Norway,Norwegian
2006,Spain,Spanish
2006,Malta,English
2006,Germany,English
2006,Denmark,English
2006,Russia,English
2006,Macedonia,"English, Macedonian"
2006,Romania,"English, Italian"
2006,Bosnia and Herzegovina,Bosnian
2006,Lithuania,English[b]
2006,United Kingdom,English
2006,Greece,English
2006,Finland,English
2006,Ukraine,English
2006,France,French
2006,Croatia,Croatian
2006,Ireland,English
2006,Sweden,English
2006,Turkey,"Turkish, English"
2006,Armenia,English
2007,Bulgaria,Bulgarian
2007,Israel,"English, French, Hebrew"
2007,Cyprus,French
2007,Belarus,English
2007,Iceland,English
2007,Georgia,English
2007,Montenegro,Montenegrin
2007,Switzerland,English
2007,Moldova,English
2007,Netherlands,English
2007,Albania,"English, Albanian"
2007,Denmark,English
2007,Croatia,"Croatian, English"
2007,Poland,English
2007,Serbia,Serbian
2007,Czech Republic,Czech
2007,Portugal,"Portuguese, English[b][c]"
2007,Macedonia,"Macedonian, English"
2007,Norway,English[d]
2007,Malta,English
2007,Andorra,"Catalan, English"
2007,Hungary,English
2007,Estonia,English
2007,Belgium,English
2007,Slovenia,Slovene
2007,Turkey,English
2007,Austria,English
2007,Latvia,Italian
2007,Bosnia and Herzegovina,Serbian
2007,Spain,Spanish[c]
2007,Belarus,English
2007,Ireland,English
2007,Finland,English
2007,Macedonia,"Macedonian, English"
2007,Slovenia,Slovene
2007,Hungary,English
2007,Lithuania,English
2007,Greece,English[q]
2007,Georgia,English
2007,Sweden,English
2007,France,"French, English (""Franglais"")"
2007,Latvia,Italian
2007,Russia,English
2007,Germany,"German, English"
2007,Serbia,Serbian
2007,Ukraine,"German, English, Ukrainian, Russian"
2007,United Kingdom,English
2007,Romania,"English, Italian, Spanish,Russian, French, Romanian"
2007,Bulgaria,Bulgarian
2007,Turkey,English
2007,Armenia,"English, Armenian"
2007,Moldova,English
2008,Montenegro,Montenegrin
2008,Israel,"Hebrew, English"
2008,Estonia,"Serbian, German, Finnish"
2008,Moldova,English
2008,San Marino,Italian
2008,Belgium,Imaginary
2008,Azerbaijan,English
2008,Slovenia,Slovene
2008,Norway,English
2008,Poland,English
2008,Ireland,English[b][d][e][g]
2008,Andorra,"English, Catalan"
2008,Bosnia and Herzegovina,Bosnian
2008,Armenia,"English, Armenian"
2008,Netherlands,English
2008,Finland,Finnish
2008,Romania,"Romanian, Italian"
2008,Russia,English
2008,Greece,English
2008,Iceland,English
2008,Sweden,English
2008,Turkey,Turkish
2008,Ukraine,English
2008,Lithuania,English
2008,Albania,Albanian
2008,Switzerland,Italian
2008,Czech Republic,English
2008,Belarus,English[d]
2008,Latvia,English
2008,Croatia,Croatian
2008,Bulgaria,English
2008,Denmark,English
2008,Georgia,English
2008,Hungary,"English, Hungarian"
