danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track.duration_ms,year,country,performer,song,performance,decade,ID,Region,BroadRegion,Period
0.324,0.414,5,-9.156,1,0.0407,0.648,0,0.416,0.445,125.405,4,168026,1956,Netherlands,Netherlands,Corry Brokken,1956 Netherlands A,1950,0.324 0.414 5 -9.156 1 0.0407 0.648 0 0.416 0.445 125.405,Western Europe,Western_Europe_Australia,Early
0.355,0.405,1,-10.066,1,0.0424,0.925,3.21E-06,0.177,0.58,72.979,4,170360,1956,Netherlands,Netherlands,Jetty Paerl,1956 Netherlands B,1950,0.355 0.405 1 -10.066 1 0.0424 0.925 3.21e-06 0.177 0.58 72.979,Western Europe,Western_Europe_Australia,Early
0.376,0.276,0,-10.135,1,0.0418,0.954,0.00031,0.057,0.294,103.727,4,193840,1956,Switzerland,Switzerland,Lys Assia,1956 Switzerland A,1950,0.376 0.276 0 -10.135 1 0.0418 0.954 0.00031 0.057 0.294 103.727,Central Europe,Central_Europe,Early
0.343,0.217,0,-14.825,1,0.0341,0.868,1.43E-06,0.597,0.353,105.498,4,255906,1956,Switzerland,Switzerland,Lys Assia,1956 Switzerland B,1950,0.343 0.217 0 -14.825 1 0.0341 0.868 1.43e-06 0.597 0.353 105.498,Central Europe,Central_Europe,Early
0.422,0.176,1,-29.19,1,0.169,0.977,1.36E-05,0.39,0.75,102.56,4,208641,1957,Austria,Bob Martin,"Wohin, Kleines Pony",1957 Austria,1950,0.422 0.176 1 -29.19 1 0.169 0.977 1.36e-05 0.39 0.75 102.56,Central Europe,Central_Europe,Early
0.536,0.502,10,-9.005,1,0.312,0.626,0.00349,0.134,0.817,181.464,3,166386,1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,1957 Belgium,1950,0.536 0.502 10 -9.005 1 0.312 0.626 0.00349 0.134 0.817 181.464,Western Europe,Western_Europe_Australia,Early
0.363,0.255,3,-11.923,1,0.0329,0.932,0,0.212,0.446,91.038,4,224000,1957,Denmark,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,1957 Denmark,1950,0.363 0.255 3 -11.923 1 0.0329 0.932 0 0.212 0.446 91.038,Nordic,Northern_Europe,Early
0.242,0.142,10,-18.362,1,0.0433,0.953,0,0.347,0.396,68.434,4,188459,1957,France,Paule Desjardins,La Belle Amour,1957 France,1950,0.242 0.142 10 -18.362 1 0.0433 0.953 0 0.347 0.396 68.434,Western Europe,Western_Europe_Australia,Early
0.275,0.065,7,-32.622,1,0.0521,0.991,0.141,0.826,0.299,107.632,1,292337,1957,Germany,Margot Hielscher,"Telefon, Telefon",1957 Germany,1950,0.275 0.065 7 -32.622 1 0.0521 0.991 0.141 0.826 0.299 107.632,Central Europe,Central_Europe,Early
0.364,0.278,7,-9.579,1,0.0354,0.966,2.72E-05,0.108,0.224,95.548,1,202600,1957,Italy,Nunzio Gallo,Corde Della Mia Chitarra,1957 Italy,1950,0.364 0.278 7 -9.579 1 0.0354 0.966 2.72e-05 0.108 0.224 95.548,Southern Europe,Southern,Early
0.31,0.121,7,-29.712,0,0.0804,0.976,3.31E-05,0.629,0.392,115.202,3,210391,1957,Luxembourg,Dani<e8>le Dupr<e9>,Amours Mortes (Tant De Peine),1957 Luxembourg,1950,0.31 0.121 7 -29.712 0 0.0804 0.976 3.31e-05 0.629 0.392 115.202,Western Europe,Western_Europe_Australia,Early
0.391,0.279,8,-10.192,1,0.0431,0.818,0,0.0955,0.503,122.083,4,205106,1957,Netherlands,Corry Brokken,Net Als Toen,1957 Netherlands,1950,0.391 0.279 8 -10.192 1 0.0431 0.818 0 0.0955 0.503 122.083,Western Europe,Western_Europe_Australia,Early
0.35,0.117,10,-18.011,1,0.0469,0.975,0.00175,0.142,0.425,121.324,4,191940,1957,Switzerland,Lys Assia,L'enfant Que J'<e9>tais,1957 Switzerland,1950,0.35 0.117 10 -18.011 1 0.0469 0.975 0.00175 0.142 0.425 121.324,Central Europe,Central_Europe,Early
0,0.139,5,-28.433,1,0,0.974,0.00267,0.846,0,0,0,162325,1957,United Kingdom,Patricia Bredin,All,1957 United Kingdom,1950,0 0.139 5 -28.433 1 0 0.974 0.00267 0.846 0 0,Western Europe,Western_Europe_Australia,Early
0.361,0.155,10,-22.157,1,0.0898,0.941,0,0.886,0.366,105.556,3,217914,1958,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,1958 Austria,1950,0.361 0.155 10 -22.157 1 0.0898 0.941 0 0.886 0.366 105.556,Central Europe,Central_Europe,Early
0.497,0.158,0,-20.279,0,0.0753,0.936,0,0.113,0.572,143.059,4,177980,1958,Belgium,Fud Leclerc,Ma Petite Chatte,1958 Belgium,1950,0.497 0.158 0 -20.279 0 0.0753 0.936 0 0.113 0.572 143.059,Western Europe,Western_Europe_Australia,Early
0.319,0.274,9,-9.287,0,0.0328,0.951,0,0.238,0.322,121.728,4,201646,1958,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,1958 Denmark,1950,0.319 0.274 9 -9.287 0 0.0328 0.951 0 0.238 0.322 121.728,Nordic,Northern_Europe,Early
0.334,0.443,8,-9.121,1,0.0389,0.906,8.22E-06,0.148,0.197,112.693,4,193786,1958,France,Andr<e9> Claveau,Dors Mon Amour,1958 France,1950,0.334 0.443 8 -9.121 1 0.0389 0.906 8.22e-06 0.148 0.197 112.693,Western Europe,Western_Europe_Australia,Early
0.577,0.311,5,-11.718,1,0.0438,0.622,0,0.0511,0.741,78.767,4,178893,1958,Germany,Margot Hielscher,F<fc>r Zwei Groschen Musik,1958 Germany,1950,0.577 0.311 5 -11.718 1 0.0438 0.622 0 0.0511 0.741 78.767,Central Europe,Central_Europe,Early
0.447,0.161,10,-9.961,1,0.0527,0.982,0.000196,0.189,0.43,63.817,4,218240,1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,1958 Italy,1950,0.447 0.161 10 -9.961 1 0.0527 0.982 0.000196 0.189 0.43 63.817,Southern Europe,Southern,Early
0.297,0.089,1,-26.825,1,0.139,0.955,0,0.733,0.233,80.855,3,209424,1958,Luxembourg,Solange Berry,Un Grand Amour,1958 Luxembourg,1950,0.297 0.089 1 -26.825 1 0.139 0.955 0 0.733 0.233 80.855,Western Europe,Western_Europe_Australia,Early
0.324,0.414,8,-5.258,1,0.0331,0.915,0.00604,0.228,0.279,129.65,5,171706,1958,Netherlands,Corry Brokken,Heel De Wereld,1958 Netherlands,1950,0.324 0.414 8 -5.258 1 0.0331 0.915 0.00604 0.228 0.279 129.65,Western Europe,Western_Europe_Australia,Early
0.231,0.246,10,-11.872,1,0.0408,0.988,0.00263,0.318,0.242,175.688,3,154955,1958,Sweden,Alice Babs,Lilla Stj<e4>rna,1958 Sweden,1950,0.231 0.246 10 -11.872 1 0.0408 0.988 0.00263 0.318 0.242 175.688,Nordic,Northern_Europe,Early
0.526,0.563,0,-8.26,1,0.0368,0.786,0,0.373,0.878,78.519,4,185013,1958,Switzerland,Lys Assia,Giorgio,1958 Switzerland,1950,0.526 0.563 0 -8.26 1 0.0368 0.786 0 0.373 0.878 78.519,Central Europe,Central_Europe,Early
0.365,0.42,2,-22.334,1,0.79,0.772,0,0.939,0.887,76.654,4,171076,1959,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,1959 Austria,1950,0.365 0.42 2 -22.334 1 0.79 0.772 0 0.939 0.887 76.654,Central Europe,Central_Europe,Early
0.419,0.497,7,-9.532,1,0.0465,0.734,0,0.458,0.758,112.328,4,154613,1959,Belgium,Bob Benny,Hou Toch Van Mij,1959 Belgium,1950,0.419 0.497 7 -9.532 1 0.0465 0.734 0 0.458 0.758 112.328,Western Europe,Western_Europe_Australia,Early
0.679,0.367,5,-13.974,1,0.294,0.852,0,0.573,0.643,125.981,4,158026,1959,Denmark,Birthe Wilke,"Uh, Jeg Ville <d8>nske Jeg Var Dig",1959 Denmark,1950,0.679 0.367 5 -13.974 1 0.294 0.852 0 0.573 0.643 125.981,Nordic,Northern_Europe,Early
0.509,0.206,2,-16.374,1,0.044,0.654,0,0.177,0.583,81.865,4,136563,1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",1959 France,1950,0.509 0.206 2 -16.374 1 0.044 0.654 0 0.177 0.583 81.865,Western Europe,Western_Europe_Australia,Early
0.497,0.528,8,-4.914,1,0.0298,0.7,0,0.258,0.788,135.959,4,157133,1959,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,1959 Germany,1950,0.497 0.528 8 -4.914 1 0.0298 0.7 0 0.258 0.788 135.959,Central Europe,Central_Europe,Early
0.311,0.499,2,-9.456,1,0.0394,0.783,0.000117,0.216,0.355,127.472,4,181431,1959,Italy,Domenico Modugno,Piove,1959 Italy,1950,0.311 0.499 2 -9.456 1 0.0394 0.783 0.000117 0.216 0.355 127.472,Southern Europe,Southern,Early
0.389,0.725,7,-12.271,1,0.594,0.677,0,0.891,0.382,142.484,4,185783,1959,Monaco,Jacques Pills,Mon Ami Pierrot,1959 Monaco,1950,0.389 0.725 7 -12.271 1 0.594 0.677 0 0.891 0.382 142.484,Western Europe,Western_Europe_Australia,Early
0.527,0.241,0,-13.108,0,0.0502,0.893,0,0.0825,0.545,132.563,5,181173,1959,Netherlands,Teddy Scholten,Een Beetje,1959 Netherlands,1950,0.527 0.241 0 -13.108 0 0.0502 0.893 0 0.0825 0.545 132.563,Western Europe,Western_Europe_Australia,Early
0.573,0.573,2,-6.329,1,0.0563,0.84,0,0.345,0.704,122.274,4,156653,1959,Sweden,Brita Borg,Augustin,1959 Sweden,1950,0.573 0.573 2 -6.329 1 0.0563 0.84 0 0.345 0.704 122.274,Nordic,Northern_Europe,Early
0.437,0.499,0,-7.198,1,0.0337,0.77,0,0.264,0.506,125.479,3,175226,1959,Switzerland,Christa Williams,Irgendwoher,1959 Switzerland,1950,0.437 0.499 0 -7.198 1 0.0337 0.77 0 0.264 0.506 125.479,Central Europe,Central_Europe,Early
0.84,0.519,9,-9.075,1,0.0447,0.743,0,0.103,0.953,109.445,4,111000,1959,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,1959 United Kingdom,1950,0.84 0.519 9 -9.075 1 0.0447 0.743 0 0.103 0.953 109.445,Western Europe,Western_Europe_Australia,Early
0.222,0.666,10,-5.19,1,0.0854,0.981,0.000125,0.959,0.466,75.042,5,270629,1960,Austria,Harry Winter,Du Hast Mich So Fasziniert,1960 Austria,1960,0.222 0.666 10 -5.19 1 0.0854 0.981 0.000125 0.959 0.466 75.042,Central Europe,Central_Europe,Early
0.271,0.776,2,-4.664,0,0.195,0.984,0.00221,0.956,0.426,106.566,3,236983,1960,Belgium,Fud Leclerc,Mon Amour Pour Toi,1960 Belgium,1960,0.271 0.776 2 -4.664 0 0.195 0.984 0.00221 0.956 0.426 106.566,Western Europe,Western_Europe_Australia,Early
0.379,0.359,3,-9.363,1,0.0358,0.986,0.0103,0.322,0.429,104.036,4,213373,1960,Denmark,Katy B<f8>dtger,Det Var En Yndig Tid,1960 Denmark,1960,0.379 0.359 3 -9.363 1 0.0358 0.986 0.0103 0.322 0.429 104.036,Nordic,Northern_Europe,Early
0.432,0.275,11,-11.563,0,0.0356,0.871,0,0.326,0.533,137.079,4,185800,1960,France,Jacqueline Boyer,Tom Pillibi,1960 France,1960,0.432 0.275 11 -11.563 0 0.0356 0.871 0 0.326 0.533 137.079,Western Europe,Western_Europe_Australia,Early
0.281,0.665,0,-4.63,0,0.0872,0.964,0.000368,0.957,0.515,91.619,3,283978,1960,Germany,Wyn Hoop,"Bonne Nuit, Ma Ch<e9>rie!",1960 Germany,1960,0.281 0.665 0 -4.63 0 0.0872 0.964 0.000368 0.957 0.515 91.619,Central Europe,Central_Europe,Early
0.245,0.182,0,-17.15,1,0.0344,0.963,0.68,0.137,0.0839,86.238,4,242160,1960,Italy,Renato Rascel,Romantica,1960 Italy,1960,0.245 0.182 0 -17.15 1 0.0344 0.963 0.68 0.137 0.0839 86.238,Southern Europe,Southern,Early
0.274,0.706,3,-5.849,1,0.068,0.989,5.95E-05,0.865,0.672,98.535,4,196259,1960,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,1960 Luxembourg,1960,0.274 0.706 3 -5.849 1 0.068 0.989 5.95e-05 0.865 0.672 98.535,Western Europe,Western_Europe_Australia,Early
0.264,0.467,10,-7.513,0,0.0327,0.747,0,0.214,0.37,98.845,4,214986,1960,Monaco,Fran<e7>ois Deguelt,Ce Soir-l<e0>,1960 Monaco,1960,0.264 0.467 10 -7.513 0 0.0327 0.747 0 0.214 0.37 98.845,Western Europe,Western_Europe_Australia,Early
0.682,0.632,8,-8.797,1,0.0867,0.716,2.58E-05,0.144,0.893,136.289,4,152137,1960,Netherlands,Rudi Carrell,Wat Een Geluk,1960 Netherlands,1960,0.682 0.632 8 -8.797 1 0.0867 0.716 2.58e-05 0.144 0.893 136.289,Western Europe,Western_Europe_Australia,Early
0.599,0.37,0,-7.192,0,0.0435,0.731,0,0.0609,0.551,158.672,4,135200,1960,Norway,Nora Brockstedt,Voi-voi,1960 Norway,1960,0.599 0.37 0 -7.192 0 0.0435 0.731 0 0.0609 0.551 158.672,Nordic,Northern_Europe,Early
0.522,0.427,8,-6.521,1,0.0318,0.816,0,0.293,0.766,131.849,1,128733,1960,Sweden,Siw Malmkvist,Alla Andra F<e5>r Varann,1960 Sweden,1960,0.522 0.427 8 -6.521 1 0.0318 0.816 0 0.293 0.766 131.849,Nordic,Northern_Europe,Early
0.348,0.696,2,-4.025,1,0.0557,0.977,0.000196,0.96,0.325,123.505,5,257908,1960,Switzerland,Anita Traversi,Cielo E Terra,1960 Switzerland,1960,0.348 0.696 2 -4.025 1 0.0557 0.977 0.000196 0.96 0.325 123.505,Central Europe,Central_Europe,Early
0.746,0.662,0,-6.845,1,0.0546,0.443,0,0.136,0.796,114.606,4,177320,1960,United Kingdom,Bryan Johnson,"Looking High, High, High",1960 United Kingdom,1960,0.746 0.662 0 -6.845 1 0.0546 0.443 0 0.136 0.796 114.606,Western Europe,Western_Europe_Australia,Early
0.279,0.156,9,-19.416,0,0.0689,0.946,0,0.921,0.219,77.344,4,176754,1961,Austria,Jimmy Makulis,Sehnsucht,1961 Austria,1960,0.279 0.156 9 -19.416 0 0.0689 0.946 0 0.921 0.219 77.344,Central Europe,Central_Europe,Early
0.377,0.199,0,-20.283,1,0.123,0.855,0,0.971,0.419,99.872,4,254825,1961,Belgium,Bob Benny,"September, Gouden Roos",1961 Belgium,1960,0.377 0.199 0 -20.283 1 0.123 0.855 0 0.971 0.419 99.872,Western Europe,Western_Europe_Australia,Early
0.373,0.42,9,-6.021,1,0.0299,0.9,7.70E-06,0.289,0.535,110.32,3,239120,1961,Denmark,Dario Campeotto,Angelique,1961 Denmark,1960,0.373 0.42 9 -6.021 1 0.0299 0.9 7.7e-06 0.289 0.535 110.32,Nordic,Northern_Europe,Early
0.346,0.259,10,-11.339,0,0.033,0.948,9.43E-06,0.138,0.429,99.925,4,153293,1961,Finland,Laila Kinnunen,Valoa Ikkunassa,1961 Finland,1960,0.346 0.259 10 -11.339 0 0.033 0.948 9.43e-06 0.138 0.429 99.925,Nordic,Northern_Europe,Early
0.627,0.285,1,-15.012,0,0.0479,0.907,9.42E-06,0.358,0.877,95.465,4,180609,1961,France,Jean-Paul Mauric,Printemps (avril Carillonne),1961 France,1960,0.627 0.285 1 -15.012 0 0.0479 0.907 9.42e-06 0.358 0.877 95.465,Western Europe,Western_Europe_Australia,Early
0.365,0.269,7,-11.781,1,0.0303,0.469,0,0.0886,0.56,78.474,4,147214,1961,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,1961 Germany,1960,0.365 0.269 7 -11.781 1 0.0303 0.469 0 0.0886 0.56 78.474,Central Europe,Central_Europe,Early
0.237,0.232,8,-11.582,1,0.032,0.872,0,0.2,0.152,81.093,4,249360,1961,Italy,Betty Curtis,Al Di L<e0>,1961 Italy,1960,0.237 0.232 8 -11.582 1 0.032 0.872 0 0.2 0.152 81.093,Southern Europe,Southern,Early
0.418,0.281,9,-12.761,0,0.0351,0.961,5.75E-05,0.115,0.251,116.433,4,187106,1961,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,1961 Luxembourg,1960,0.418 0.281 9 -12.761 0 0.0351 0.961 5.75e-05 0.115 0.251 116.433,Western Europe,Western_Europe_Australia,Early
0.632,0.41,11,-9.496,1,0.0517,0.773,0,0.122,0.908,138.707,5,136695,1961,Monaco,Colette Der<e9>al,"Allons, Allons Les Enfants",1961 Monaco,1960,0.632 0.41 11 -9.496 1 0.0517 0.773 0 0.122 0.908 138.707,Western Europe,Western_Europe_Australia,Early
0.473,0.348,7,-19.466,1,0.481,0.582,0,0.922,0.631,88.735,4,226743,1961,Netherlands,Greetje Kauffeld,Wat Een Dag,1961 Netherlands,1960,0.473 0.348 7 -19.466 1 0.481 0.582 0 0.922 0.631 88.735,Western Europe,Western_Europe_Australia,Early
0.195,0.209,5,-12.377,0,0.0333,0.957,2.79E-05,0.342,0.198,176.867,5,213573,1961,Norway,Nora Brockstedt,Sommer i Palma,1961 Norway,1960,0.195 0.209 5 -12.377 0 0.0333 0.957 2.79e-05 0.342 0.198 176.867,Nordic,Northern_Europe,Early
0.485,0.84,7,-0.147,1,0.0494,0.874,3.14E-06,0.489,0.71,88.298,4,173714,1961,Spain,Conchita Bautista,Estando Contigo,1961 Spain,1960,0.485 0.84 7 -0.147 1 0.0494 0.874 3.14e-06 0.489 0.71 88.298,Southern Europe,Southern,Early
0.57,0.475,10,-8.777,1,0.0501,0.675,0,0.0917,0.605,122.802,4,151400,1961,Sweden,Lill-Babs,"April, April",1961 Sweden,1960,0.57 0.475 10 -8.777 1 0.0501 0.675 0 0.0917 0.605 122.802,Nordic,Northern_Europe,Early
0.418,0.179,0,-21.346,1,0.379,0.82,0,0.947,0.624,100.028,3,221049,1961,Switzerland,Franca di Rienzo,Nous Aurons Demain,1961 Switzerland,1960,0.418 0.179 0 -21.346 1 0.379 0.82 0 0.947 0.624 100.028,Central Europe,Central_Europe,Early
0.334,0.437,8,-8.065,1,0.035,0.776,0,0.304,0.787,83.246,4,124666,1961,United Kingdom,The Allisons,Are You Sure?,1961 United Kingdom,1960,0.334 0.437 8 -8.065 1 0.035 0.776 0 0.304 0.787 83.246,Western Europe,Western_Europe_Australia,Early
0.175,0.304,7,-6.747,1,0.0304,0.932,1.65E-05,0.407,0.167,81.003,3,197320,1961,Yugoslavia,Ljiljana Petrovic,Neke Davne Zvezde,1961 Yugoslavia,1960,0.175 0.304 7 -6.747 1 0.0304 0.932 1.65e-05 0.407 0.167 81.003,Balkans,Eastern_Europe,Early
0.229,0.797,2,-5.893,1,0.236,0.767,0,0.889,0.328,49.939,3,214361,1962,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,1962 Austria,1960,0.229 0.797 2 -5.893 1 0.236 0.767 0 0.889 0.328 49.939,Central Europe,Central_Europe,Early
0.3,0.601,0,-8.053,1,0.0724,0.742,0,0.844,0.416,63.427,4,192654,1962,Belgium,Fud Leclerc,Ton Nom,1962 Belgium,1960,0.3 0.601 0 -8.053 1 0.0724 0.742 0 0.844 0.416 63.427,Western Europe,Western_Europe_Australia,Early
0.279,0.631,8,-8.299,1,0.0731,0.713,0,0.959,0.443,130.272,3,221336,1962,Denmark,Ellen Winther,Vuggevise,1962 Denmark,1960,0.279 0.631 8 -8.299 1 0.0731 0.713 0 0.959 0.443 130.272,Nordic,Northern_Europe,Early
0.511,0.403,9,-8.434,0,0.0366,0.871,3.74E-06,0.107,0.634,82.623,4,132400,1962,Finland,Marion Rung,Tipi-tii,1962 Finland,1960,0.511 0.403 9 -8.434 0 0.0366 0.871 3.74e-06 0.107 0.634 82.623,Nordic,Northern_Europe,Early
0.392,0.329,2,-11.162,0,0.0347,0.843,2.09E-06,0.127,0.464,96.071,4,152586,1962,France,Isabelle Aubret,Un Premier Amour,1962 France,1960,0.392 0.329 2 -11.162 0 0.0347 0.843 2.09e-06 0.127 0.464 96.071,Western Europe,Western_Europe_Australia,Early
0.627,0.453,10,-8.905,1,0.0261,0.0377,0,0.167,0.913,98.105,4,164213,1962,Germany,Conny Froboess,Zwei Kleine Italiener,1962 Germany,1960,0.627 0.453 10 -8.905 1 0.0261 0.0377 0 0.167 0.913 98.105,Central Europe,Central_Europe,Early
0.326,0.209,2,-12.303,0,0.0298,0.818,0,0.102,0.29,78.187,4,219880,1962,Italy,Claudio Villa,"Addio, Addio",1962 Italy,1960,0.326 0.209 2 -12.303 0 0.0298 0.818 0 0.102 0.29 78.187,Southern Europe,Southern,Early
0.282,0.338,0,-11.404,1,0.032,0.832,1.51E-06,0.121,0.3,105.913,3,157693,1962,Luxembourg,Camillo Felgen,Petit Bonhomme,1962 Luxembourg,1960,0.282 0.338 0 -11.404 1 0.032 0.832 1.51e-06 0.121 0.3 105.913,Western Europe,Western_Europe_Australia,Early
0.298,0.489,9,-6.706,1,0.0304,0.434,0.000187,0.632,0.351,114.523,3,192693,1962,Monaco,Fran<e7>ois Deguelt,Dis Rien,1962 Monaco,1960,0.298 0.489 9 -6.706 1 0.0304 0.434 0.000187 0.632 0.351 114.523,Western Europe,Western_Europe_Australia,Early
0.657,0.469,8,-12.161,1,0.0443,0.691,0,0.2,0.918,143.184,4,175493,1962,Netherlands,De Spelbrekers,Katinka,1962 Netherlands,1960,0.657 0.469 8 -12.161 1 0.0443 0.691 0 0.2 0.918 143.184,Western Europe,Western_Europe_Australia,Early
0.205,0.374,10,-11.905,1,0.0301,0.082,0,0.318,0.218,98.195,4,160400,1962,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",1962 Norway,1960,0.205 0.374 10 -11.905 1 0.0301 0.082 0 0.318 0.218 98.195,Nordic,Northern_Europe,Early
0.366,0.754,10,-5.563,1,0.117,0.705,0,0.929,0.53,133.801,3,195188,1962,Spain,Victor Balaguer,Ll<e1>mame,1962 Spain,1960,0.366 0.754 10 -5.563 1 0.117 0.705 0 0.929 0.53 133.801,Southern Europe,Southern,Early
0.647,0.633,11,-7.972,1,0.0511,0.492,0,0.121,0.914,106.185,4,188173,1962,Sweden,Inger Berggren,Sol Och V<e5>r,1962 Sweden,1960,0.647 0.633 11 -7.972 1 0.0511 0.492 0 0.121 0.914 106.185,Nordic,Northern_Europe,Early
0.353,0.265,7,-15.32,0,0.0366,0.621,5.19E-05,0.0479,0.316,119.336,3,172084,1962,Switzerland,Jean Philippe,Le Retour,1962 Switzerland,1960,0.353 0.265 7 -15.32 0 0.0366 0.621 5.19e-05 0.0479 0.316 119.336,Central Europe,Central_Europe,Early
0.336,0.455,6,-9.339,1,0.0825,0.836,0,0.174,0.738,203.568,4,171676,1962,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,1962 United Kingdom,1960,0.336 0.455 6 -9.339 1 0.0825 0.836 0 0.174 0.738 203.568,Western Europe,Western_Europe_Australia,Early
0.44,0.472,3,-5.283,1,0.0324,0.878,0,0.3,0.316,104.176,4,185613,1962,Yugoslavia,Lola Novakovic,Ne Pali Svetlo U Sumrak,1962 Yugoslavia,1960,0.44 0.472 3 -5.283 1 0.0324 0.878 0 0.3 0.316 104.176,Balkans,Eastern_Europe,Early
0.307,0.422,9,-8.297,0,0.0339,0.728,0,0.125,0.493,198.972,3,175320,1963,Denmark,Grethe & J<f8>rgen Ingmann,Dansevise,1963 Denmark,1960,0.307 0.422 9 -8.297 0 0.0339 0.728 0 0.125 0.493 198.972,Nordic,Northern_Europe,Early
0.299,0.253,9,-11.984,1,0.034,0.95,0.0459,0.117,0.267,113.771,3,170000,1963,Finland,Laila Halme,Muistojeni Laulu,1963 Finland,1960,0.299 0.253 9 -11.984 1 0.034 0.95 0.0459 0.117 0.267 113.771,Nordic,Northern_Europe,Early
0.419,0.391,5,-9.189,0,0.028,0.818,0,0.104,0.202,102.346,4,175413,1963,France,Alain Barri<e8>re,Elle <e9>tait Si Jolie,1963 France,1960,0.419 0.391 5 -9.189 0 0.028 0.818 0 0.104 0.202 102.346,Western Europe,Western_Europe_Australia,Early
0.568,0.275,8,-13.085,1,0.0618,0.97,2.12E-06,0.0557,0.649,117.575,4,167624,1963,Italy,Emilio Pericoli,Uno Per Tutte,1963 Italy,1960,0.568 0.275 8 -13.085 1 0.0618 0.97 2.12e-06 0.0557 0.649 117.575,Southern Europe,Southern,Early
0.346,0.359,8,-5.728,0,0.0278,0.839,0,0.144,0.281,94.57,4,155466,1963,Luxembourg,Nana Mouskouri,A Force De Prier,1963 Luxembourg,1960,0.346 0.359 8 -5.728 0 0.0278 0.839 0 0.144 0.281 94.57,Western Europe,Western_Europe_Australia,Early
